use_mup,learning_rate,embed_dim,depth,num_steps,loss
False,0.00027,256,2,10000,0.29748430848121643
False,9e-05,512,2,10000,0.33968064188957214
False,0.00081,256,2,10000,0.2730884552001953
False,3e-05,1024,2,10000,0.38223809003829956
False,3e-05,1024,2,10000,0.3826024830341339
False,0.00243,256,2,10000,0.2659491300582886
False,0.00027,512,2,10000,0.2754477858543396
False,0.00729,256,2,10000,0.267963707447052
False,0.00081,512,2,10000,0.2527558207511902
False,0.02187,256,2,10000,0.2897550165653229
False,3e-05,256,2,10000,0.49962317943573
False,9e-05,1024,2,10000,0.3005591034889221
False,9e-05,1024,2,10000,0.2955119013786316
False,0.00243,512,2,10000,0.26266157627105713
False,9e-05,256,2,10000,0.375948965549469
False,0.00027,256,2,10000,0.3067395091056824
False,0.00729,512,2,10000,0.2781209349632263
False,0.00081,256,2,10000,0.27560076117515564
False,0.00243,256,2,10000,0.27230167388916016
False,0.02187,512,2,10000,0.3313477635383606
False,0.00027,1024,2,10000,0.2635553777217865
False,0.00027,1024,2,10000,0.26065728068351746
False,0.00729,256,2,10000,0.2751196622848511
False,3e-05,512,2,10000,0.4345860481262207
False,0.02187,256,2,10000,0.28265243768692017
False,9e-05,512,2,10000,0.3446804881095886
False,0.00081,1024,2,10000,0.25283974409103394
False,0.00081,1024,2,10000,0.24945375323295593
False,0.00027,512,2,10000,0.28260576725006104
False,0.00081,512,2,10000,0.2659035623073578
False,0.00243,1024,2,10000,0.2622651755809784
False,0.00243,512,2,10000,0.265314519405365
False,0.00243,1024,2,10000,0.2592601180076599
False,0.00729,512,2,10000,0.265627384185791
False,0.02187,512,2,10000,0.3113417327404022
False,0.00729,1024,2,10000,0.25714462995529175
False,0.00729,1024,2,10000,0.26126980781555176
False,0.02187,1024,2,10000,0.3885577321052551
False,0.02187,1024,2,10000,0.30431580543518066
